PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets,Latitude,Longitude,Postcode,Census Tract,BIN,BBL,NTA,gardenKey
,M,M03,2.0,11 BC Serenity Garden,626 East 11th Street,0.054000000000000006,DPR,East Village,Avenues B & C,40.727123999999996,-73.978677,10009.0,28.0,1000000.0,1003930020.0,Lower East Side,42500001
,B,B08,36.0,1100 Bergen Street Community Garden,1101 & 1105 Bergen Street,0.207,PRI,Crown Heights,Nostrand & New York Avenues,,,,,,,,42500002
M382,M,M11,9.0,110th Street Block Association,1651 Madison Avenue,0.043,DPR,East Harlem,Active,40.796295,-73.94753299999999,10029.0,17402.0,1000000.0,1016160023.0,East Harlem South,42500003
M331,M,M11,8.0,117th Street Community Garden,172 E 117th Street,0.08,DPR,East Harlem,Active,40.798976,-73.940376,10035.0,182.0,1089914.0,1016440046.0,East Harlem North,42500004
,M,M03,2.0,11th Street Community Garden,422 East 11th Street,0.054000000000000006,TPL,East Village,1st Avenue & Avenue A,40.729079,-73.983327,10009.0,34.0,1000000.0,1004380019.0,East Village,42500005
,X,X12,15.0,211th Street Block Association.,Carlisle Place,0.182,NYRP,,At E. 211th Street,,,,,,,,42500006
,X,X06,15.0,2120 Mapes Avenue HDFC,2124 Mapes Avenue,0.151,TPL,,At E. 181st Street,40.847215999999996,-73.885018,10460.0,36501.0,2000000.0,2031110007.0,East Tremont,42500007
B535,B,B05,42.0,400 Montauk Avenue Block Association. (Ismael Vega y Amigos),New Lots Avenue,0.091,DPR,East New York,Active,,,,,,,,42500008
M313A,M,M03,1.0,5th Street Slope Garden Club,626-27 East 5th Street,0.031,DPR,East Village,Active,40.723433,-73.980995,10009.0,2601.0,1075625.0,1003870020.0,Lower East Side,42500009
,B,B07,38.0,6/15 Green,274 15th Street,0.287,TPL,Park Slope,corner of 6th Avenue & 15th Street,40.664706,-73.987554,11215.0,141.0,3000000.0,3010480034.0,Park Slope-Gowanus,42500010
,B,B07,0.0,64th Street Community Garden,64th Street,,DOT,Sunset Park,West of 4th Avenue,,,,,,,,42500011
M313,M,M03,1.0,6BC Botanical Garden,624-628 E 6th Street,0.171,DPR,East Village,Active,40.724036,-73.98056899999999,10009.0,2601.0,1000000.0,1003870121.0,Lower East Side,42500012
M293,M,M03,2.0,6th Street & Avenue B Garden,78-92 Avenue B,0.315,DPR,East Village,Active,40.724031,-73.98198599999999,10009.0,32.0,1000000.0,1004010039.0,East Village,42500013
B438,B,B16,41.0,700 Decatur Street Block Association,700 Decatur Street,0.114,DPR,Bed-Stuy,Active,40.683541,-73.915121,11233.0,373.0,3040656.0,3015060032.0,Ocean Hill,42500014
X351,X,X03,17.0,811 Family and Friends Association,809 Courtlandt Avenue,0.063,DPR,,Active,40.823065,-73.91645,10451.0,69.0,2000000.0,2024180022.0,Melrose South-Mott Haven North,42500015
Q495,Q,Q03,21.0,97th Street Block Association,33-28 97th Street,0.177,DPR,Corona,Active,40.756409000000005,-73.87122,11368.0,375.0,4000000.0,4017110021.0,North Corona,42500016
M312,M,M03,2.0,9th Street Community Garden & Park,703 East 9th Street,0.39,DPR,East Village,Active,40.725211,-73.977776,10009.0,28.0,1000000.0,1003790063.0,Lower East Side,42500017
B507,B,B03,41.0,A Better Community Garden,762-764 Herkimer Place/13-21 Hunterfly,0.044000000000000004,DPR,Bed-Stuy,Active,,,,,,,,42500018
X350,X,X03,16.0,A. Badillo Community Rose Garden,924 Melrose Avenue,0.064,DPR,Melrose,Active,40.82513,-73.913329,10451.0,141.0,2000000.0,2023840009.0,Morrisania-Melrose,42500019
,B,B04,37.0,Aberdeen Street II Garden Projects,Aberdeen Street,0.253,NYRP,,,,,,,,,,42500020
B533,B,B16,,Abib Newborn,495 Osborn Street,0.249,DPR,East New York,Active,40.659528,-73.906203,11212.0,920.0,3000000.0,3036170013.0,Brownsville,42500021
,X,X09,18.0,Adlai E. Stevenson High School-Ecological Garden,1980 Lafayette Avenue/Stickball Avenue,,DOE,,Lafayette & Stickball Avenue,,,,,,,,42500022
,M,M03,2.0,Alberts Garden,16-18 East 2nd Street,0.07,TPL,East Village,Bowery & 2nd Avenue,40.725347,-73.99132,10003.0,3602.0,1000000.0,1004580041.0,East Village,42500023
B439,B,B03,34.0,All People's Church of the Apostolic Faith Community Garden,149 Tompkins Avenue,0.064,DPR,Bed-Stuy,Active,40.694344,-73.946088,11206.0,25901.0,3000000.0,3017600001.0,Bedford,42500024
,M,M03,2.0,"All Peoples Garden, Inc.",293-295 East 3rd Street,0.099,TPL,East Village,Avenues C & D,40.721396,-73.979916,10009.0,2601.0,1000000.0,1003730059.0,Lower East Side,42500025
B409,B,B06,39.0,Amazing Garden,261-265 Columbia Street,0.10300000000000001,DPR,Red Hook,Active,40.683251,-74.003548,11231.0,51.0,3000000.0,3003480003.0,Carroll Gardens-Columbia Street-Red Hook,42500026
B440,B,B16,41.0,Amboy St. Garden,199 Amboy Street,0.391,DPR,,Active,40.665633,-73.913605,11212.0,902.0,3081400.0,3035400007.0,Brownsville,42500027
B441,B,B03,36.0,American Heart,122 Hart Street,0.05,DPR,Bed-Stuy,Active,40.693378,-73.946915,11206.0,261.0,3000000.0,3017710029.0,Bedford,42500028
X339,X,X03,16.0,Angie Lee-Gonzalez & Luis Gonzalez Garden,1768 Bryant Avenue,0.131,DPR,,Active,40.83652,-73.885069,10460.0,161.0,2117995.0,2029980170.0,Crotona Park East,42500029
,X,X05,15.0,Anthony Avenue Garden,2078 Anthony Avenue,0.054000000000000006,TPL,,E. 180th Street & Burnside Avenue,40.852889000000005,-73.901885,10457.0,381.0,2000000.0,2031560055.0,Mount Hope,42500030
Q470,Q,X01,,Astoria Residents Reclaiming Our World (ARROW),35th St. Bet. 35th & 36th Aves,0.287,DPR,,,,,,,,,,42500031
B443,B,B05,37.0,Atkins Gardeners,213 Atkins Avenue,0.068,DPR,East New York,Active,40.673772,-73.878795,11208.0,1194.0,3256563.0,3040230006.0,East New York,42500032
,M,M03,1.0,Auxiliary Services for High Schools @ P.S. 91,198 Forsyth Street,0.051,DOE,Lower East Side,Stanton Street,40.72252,-73.990728,10002.0,3601.0,1005626.0,1004220072.0,Chinatown,42500033
M342,M,M03,2.0,Avenue B Community Garden Association,200 Avenue B,0.05,DPR,East Village,Active,40.728307,-73.978864,10009.0,34.0,1005220.0,1004060037.0,East Village,42500034
Q486,Q,Q12,28.0,B.C.C.A. Mini-Park and Garden,150-14 115th Drive,0.092,DPR,,Active,40.683535,-73.792211,11434.0,272.0,4264367.0,4121920014.0,Baisley Park,42500035
,Q,Q12,,Back To Eden,144-29 Lakewood Avenue,,TPL,,At Inwood St,40.689588,-73.80359399999999,11435.0,196.0,,,South Jamaica,42500036
B410,B,B06,39.0,Backyard Garden,61-73 Hamilton Avenue,0.225,DPR,Red Hook,Active,40.682842,-74.006259,11231.0,51.0,3000000.0,3003520010.0,Carroll Gardens-Columbia Street-Red Hook,42500037
,X,X07,11.0,Bainbridge Avenue Garden,2974-2980 Bainbridge Avenue,0.066,TPL,,E. 201st Street & Bedford Park Boulevard,40.870996000000005,-73.884326,10458.0,415.0,2016756.0,2032920084.0,Bedford Park-Fordham North,42500038
,X,X06,,Bathgate Garden,1836 Bathgate Avenue,,NYRP,,"E 175th & E 176th, just North of Cross Bronx",40.84506,-73.89801800000001,10457.0,395.0,2000000.0,2029230012.0,Claremont-Bathgate,42500039
R137A,R,R03,3.0,Bayview Habitat,Bayview Terrace,0.276,DPR,,,,,,,,,,42500040
,Q,Q14,31.0,Beach Channel High School,100-00 Beach Channel Drive,,DOE,Far Rockaway,At Beach 100 Street,40.586065999999995,-73.822624,11694.0,94201.0,4303773.0,4161670099.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,42500041
,B,B03,41.0,Bed-Stuy Community Garden (Lola Bryant Community Garden),93-95 Malcolm X Avenue,0.073,NYRP,Bed-Stuy,Greene & Lexington Avenues,,,,,,,,42500042
,B,B03,,Bed-Stuy Farm,404 Decatur Street,,DPR/PRI,,Btwn Malcolm X & Patchen Avenue,40.682165999999995,-73.927115,11233.0,381.0,3000000.0,3016820058.0,Crown Heights North,42500043
,X,X06,15.0,Belmont Little Farmers,2483 Belmont Avenue,0.1,TPL,Belmont,E. 189th Street & E. Fordam Rd.,40.856921,-73.884462,10458.0,389.0,,,Belmont,42500044
B444,B,B01,34.0,Berry Street Garden,301-303 Berry Street,0.13699999999999998,DPR,Williamsburg,Active,40.713449,-73.963827,11249.0,551.0,3000000.0,3024170004.0,North Side-South Side,42500045
,X,X04,,Bettes Rose Garden,Teller Avenue,,NYRP,,E 164th & E 165th,,,,,,,,42500046
