Transportation-Payload Truck,Brooklyn Queens Expressway and Cadman Plaza West,Brooklyn,04/22/2020 03:39:03 AM,,40.701681,-73.991979,1211
Utility-Water Main,Cypress Hills Street & Jackie Robinson Parkway,Queens,02/22/2017 08:48:04 PM,02/23/2017 05:43:11 AM,40.707643755001996,-73.84801875249202,2829
Transportation-Payload Truck,Major Deegan Expressway and Cross Bronx Expressway,Bronx,01/08/2020 08:39:22 PM,01/09/2020 04:01:09 AM,40.845096000000005,-73.9265805,3753
Transportation-Other,Jackie Robinson Parkway  & Grand Central Parkway,Queens,05/26/2019 08:04:16 PM,05/26/2019 09:04:11 PM,40.71615300000001,-73.82566349999998,3799
Transportation-Other,Hutchinson River Parkway & New England Thruway,Bronx,04/11/2020 12:08:08 AM,04/11/2020 06:19:05 AM,40.886658000000004,-73.81534049999998,3958
Transportation-Payload Truck,Brooklyn Queens Expressway and Cadman Plaza West,Brooklyn,04/22/2020 03:39:03 AM,04/22/2020 10:39:02 AM,40.701681,-73.991979,3973
Utility-Staten Island Hospital - Air Conditioning Failure,375 Seguine Avenue,Staten Island,06/09/2011 10:42:31 AM,06/10/2011 09:48:00 AM,40.516725015552296,-74.19687972294881,4061
Fire-Other,Brooklyn Queens Expressway  & Queens Boulevard,Queens,01/18/2019 09:08:08 AM,01/18/2019 10:00:33 AM,40.74074999999999,-73.8988425,4090
Utility-Manhole,Long Island Expressway (Eastbound) & Maurice Avenue,Queens,06/24/2011 06:24:37 PM,06/24/2011 11:23:14 PM,,,4688
Transportation-Other,Staten island expressway  & west shore expressway,staten island,11/29/2018 02:53:40 PM,11/29/2018 03:40:23 PM,40.630203,-74.1866625,4820
Administration-New Year's Eve Times Square Event,Times Square,Manhattan,12/30/2011 08:41:19 AM,01/01/2012 06:05:00 AM,,,5354
HazMat-Building Evacuation Due To Chemical Odor,131-07 14th Avenue,Queens,02/17/2012 08:09:52 AM,02/17/2012 09:26:53 AM,40.786154221349506,-73.83712762104123,5497
Structural-Dangerous Condition - Tree Into a House,139-21 230 Place,Queens,09/22/2011 06:54:00 PM,09/23/2011 10:37:00 PM,40.668599498462186,-73.74399720341117,5590
HazMat-Disabled Tractor Trailer Carrying Asbestos,Cross Bronx Expressway & Nelson Avenue,Bronx,09/12/2012 12:30:11 AM,09/12/2012 03:46:34 AM,,,5956
Fire-6th Alarm,Beach 207 Street (Breezy Point) & Rockaway Point  Blvd,Queens,10/30/2012 12:29:42 AM,11/05/2012 10:53:18 PM,40.56090603019653,-73.91548600085788,6066
Structural-Stability Problem,101st Avenue & Van Wyck Expressway Service Road,Queens,12/04/2012 12:53:45 PM,12/04/2012 02:35:47 PM,,,6119
Utility-Possible Power Interruption at Hospital,1901 1 Avenue,Manhattan,12/15/2012 12:30:06 PM,12/15/2012 03:59:09 PM,40.78455660719653,-73.94377983866669,6136
Structural-Falling Debris,Cross Bronx Expressway & Major Deegan Expressway,Bronx,05/03/2013 06:11:57 PM,05/06/2013 04:59:55 PM,40.841262045678356,-73.92803944732759,6385
HazMat-School Evacuation Due to Release of Mace,1925       Stuart Street,Brooklyn,05/23/2013 01:28:38 PM,05/23/2013 03:02:11 PM,40.606649423536204,-73.93917579485098,6433
Transportation-Delay in Commuter Service,West 34th Street & 8th Avenue- NY Penn Station,Manhattan,07/17/2013 05:54:22 PM,07/17/2013 10:54:15 PM,40.752190433881715,-73.99346359839569,6570
Structural-Truck with Crane Struck Overpass,Westbound Long Island Expressway  & Springfield Blvd Overpass,Queens,07/30/2013 03:49:45 PM,07/30/2013 08:23:33 PM,,,6610
Transportation-Commuter Bus,Trans Manhattan Expressway & George Washington Bridge,Manhattan,09/20/2013 05:10:37 PM,09/20/2013 06:50:45 PM,40.84967445298436,-73.94249946247609,6722
Structural-One Vehicle Collision With Building Damage,310 East 14th Street,Manhattan,03/02/2014 04:31:05 PM,03/03/2014 12:33:38 AM,40.73211994753937,-73.98441622552345,7175
Utility-Water Main,Cross Island Parkway Service Road Eastbound & 208 Place,Queens,07/29/2014 05:29:16 PM,07/29/2014 05:56:31 PM,40.78878053477106,-73.78444346568091,7241
Transportation-Train Ground Level,Arthur Kill Road at Bentley Street &  Bentley Street,Staten Island,05/29/2014 06:57:58 AM,05/29/2014 08:25:24 AM,40.51136073903693,-74.2520669496912,7370
Fire-Other,Henry Hudson Parkway  & George Washington Bridge,Manhattan,03/10/2015 09:18:47 AM,03/10/2015 02:49:26 PM,,,8020
Structural-Collapse,CROSS BRONX EXPRESSWAY & MAJOR DEEGAN EXPRESSWAY,BrONX,06/09/2016 05:42:26 PM,06/10/2016 12:46:23 AM,40.84511318427696,-73.92707921221525,9238
Structural-Scaffold,West 152 Street & Adam Clayton Powell Boulevard,Manhattan,09/03/2016 09:44:50 PM,09/04/2016 02:06:31 AM,40.82598137987586,-73.93590401935576,9454
